horizon_days,model,label,mae,rmse,mase,smape_pct,directional_accuracy,gain_vs_naive_pct,gain_vs_sarimax_pct,folds,brier,log_loss,precision_up,recall_up,f1_up,picp_p10_p90,interval_width,pinball_p10,pinball_p90
7,inverse_mase,Ensemble inverse-MASE,0.11037497671256158,0.22061640903530566,7.869360836208905,1.5710928998681617,0.625,-27.038568630592035,-22.919078994808753,24,,,,,,,,,
7,probability_layer,Probabilidade ensemble,,,,,,,,24,0.25323049388830066,0.7290644800431304,0.0,0.0,0.0,0.7916666666666666,0.6253828183897466,0.03869830840191544,0.0811572724947885
14,naive,Naive,0.17105162298166662,0.3272880352944997,6.777633162196131,2.4556012678217454,0.0,0.0,11.938097695080883,24,,,,,,,,,
14,seasonal_naive,Seasonal naive (52s),0.9172687137679166,0.945678873724442,36.34523160148415,13.65369154372997,0.7916666666666666,-436.2525638626824,-372.2342088963794,24,,,,,,,,,
14,moving_average_4,Média móvel 4,0.28601112575656246,0.458960346339784,11.332710306364604,4.0836201075643155,0.20833333333333334,-67.2074902131839,-47.24609667804121,24,,,,,,,,,
14,moving_average_8,Média móvel 8,0.37884648315010416,0.5537128099347948,15.011155362464635,5.42299576266722,0.3333333333333333,-121.48078839959857,-95.04019550461912,24,,,,,,,,,
14,moving_average_12,Média móvel 12,0.44537121290267373,0.6160050276896273,17.647086005025546,6.403010708693735,0.4166666666666667,-160.37239819139793,-129.28888692428384,24,,,,,,,,,
14,arima,ARIMA,0.14300463343910053,0.2910100114389564,5.6663183257163965,2.056957633779285,0.7083333333333334,16.39679826105607,26.377430160866755,24,,,,,,,,,
14,sarima,SARIMA,0.15625967001530724,0.29639117637665713,6.191526879128662,2.2375913737276525,0.5416666666666666,8.64765426279807,19.553386543653293,24,,,,,,,,,
14,sarimax,SARIMAX + mercado,0.19424020888101087,0.34743890983246545,7.696441917332433,2.754765213453034,0.4166666666666667,-13.556483998885888,0.0,24,,,,,,,,,
14,lightgbm,LightGBM,0.6017261857889592,0.7579448878000336,23.84238910029022,8.784280792261177,0.6666666666666666,-251.7804597816955,-209.78456482075197,24,,,,,,,,,
14,lightgbm_price_only,LightGBM — somente preço,0.6650893783420461,0.7910038157025406,26.35304914329051,9.726093463328594,0.7083333333333334,-288.8237753893341,-242.40561322165357,24,,,,,,,,,
14,simple_average,Média simples,0.19540952856848048,0.34988299407966816,7.742774245274462,2.791656867449785,0.375,-14.240090308540685,-0.6019967205584719,24,,,,,,,,,
14,inverse_mase,Ensemble inverse-MASE,0.1952715736785314,0.34981614731834726,7.737308014550032,2.7897918475719123,0.4166666666666667,-14.159439281941616,-0.5309738923068857,24,,,,,,,,,
14,probability_layer,Probabilidade ensemble,,,,,,,,24,0.2776656855200334,0.7760149245373086,0.0,0.0,0.0,0.875,1.0018418341375455,0.06019199093489905,0.13786623582883856
30,naive,Naive,0.3326477449641666,0.5378344865631972,7.31489614516544,4.774672777287865,0.0,0.0,17.30054621062155,24,,,,,,,,,
30,seasonal_naive,Seasonal naive (52s),0.8841000054233331,0.9114378450882948,19.441285322131165,13.129696052931886,0.875,-165.7766417501402,-119.7958310271191,24,,,,,,,,,
30,moving_average_4,Média móvel 4,0.4156947662955208,0.6142798545740847,9.14109321218489,5.971330799748318,0.25,-24.96545447506346,-3.345748276291871,24,,,,,,,,,
30,moving_average_8,Média móvel 8,0.48269103450557277,0.6678111983382182,10.614335557846875,6.9583345114682205,0.3333333333333333,-45.10575881329636,-20.001669955528968,24,,,,,,,,,
30,moving_average_12,Média móvel 12,0.5329636098662848,0.7112603244740971,11.719825293703119,7.716802378711383,0.4166666666666667,-60.21861501682404,-32.49991948782056,24,,,,,,,,,
30,arima,ARIMA,0.3183626676036553,0.5264894519146617,7.0007684864042155,4.551858499826129,0.5,4.29435568909392,20.85195490927532,24,,,,,,,,,
30,sarima,SARIMA,0.3493412616161251,0.5442690710330942,7.681985182909616,4.959731317648516,0.4583333333333333,-5.018376617510743,13.15037615884628,24,,,,,,,,,
30,sarimax,SARIMAX + mercado,0.4022369311064185,0.5923957058388258,8.84515653972183,5.664185517921244,0.2916666666666667,-20.919782922246526,0.0,24,,,,,,,,,
30,lightgbm,LightGBM,0.739945694407147,0.8735859475463065,16.271344055657618,10.900140575492314,0.7083333333333334,-122.44121765709106,-83.95767200485676,24,,,,,,,,,
30,lightgbm_price_only,LightGBM — somente preço,0.8575322797438373,0.9396765007020552,18.857063252086196,12.70055777823255,0.875,-157.78989718875508,-113.19083689930072,24,,,,,,,,,
30,simple_average,Média simples,0.3154111949138918,0.5388080409631822,6.935865848320084,4.5573911201805695,0.375,5.181622395225181,21.585719628900886,24,,,,,,,,,
